Date,Open,High,Low,Close,Tick,Volume
2020.03.10 10:55,90313,90672,90283,90631,52471,123380
2020.03.10 11:00,90636,90944,90394,90894,52256,130103
2020.03.10 11:05,90894,91060,90768,90914,48207,114017
2020.03.10 11:10,90914,91434,90899,91283,47002,118764
2020.03.10 11:15,91283,91510,91101,91247,45030,111534
2020.03.10 11:20,91247,91439,91086,91116,42269,93803
2020.03.10 11:25,91111,91121,90682,90768,42708,101819
2020.03.10 11:30,90762,90828,90404,90439,44716,108449
2020.03.10 11:35,90439,90591,90227,90313,46208,106954
2020.03.10 11:40,90313,90490,90162,90328,46452,102357
2020.03.10 11:45,90323,90520,89849,89854,51873,120696
2020.03.10 11:50,89854,89884,88839,88950,75365,189289
2020.03.10 11:55,88955,89556,88899,89354,62679,148073
2020.03.10 12:00,89359,89773,89273,89682,48690,115840
2020.03.10 12:05,89677,90015,89581,89955,45171,108074
2020.03.10 12:10,89950,90010,89389,89541,52213,128404
2020.03.10 12:15,89546,89839,89435,89515,45815,108441
2020.03.10 12:20,89515,89763,89051,89147,58967,141225
2020.03.10 12:25,89142,89526,88698,89122,79226,194132
2020.03.10 12:30,89122,89298,88783,88819,55783,139777
2020.03.10 12:35,88824,88899,88208,88556,58093,158558
2020.03.10 12:40,88556,88859,88304,88839,50093,130093
2020.03.10 12:45,88839,89218,88778,88990,40725,106565
2020.03.10 12:50,88995,89213,88384,88475,50587,125807
2020.03.10 12:55,88470,88824,88415,88591,43122,101704
2020.03.10 13:00,88591,89293,88586,89031,54956,134015
2020.03.10 13:05,89031,89288,88920,89238,49544,114026
2020.03.10 13:10,89238,89712,89192,89591,54557,123498
2020.03.10 13:15,89596,89823,89430,89697,45174,105165
2020.03.10 13:20,89702,89798,89556,89733,36416,82200
2020.03.10 13:25,89733,89738,89122,89167,49225,111176
2020.03.10 13:30,89167,89248,88945,88970,48138,108470
2020.03.10 13:35,88970,89647,88869,89596,64339,137978
2020.03.10 13:40,89596,89834,89313,89788,61743,138828
2020.03.10 13:45,89788,89929,89556,89672,47135,105926
2020.03.10 13:50,89672,89950,89455,89813,43629,111066
2020.03.10 13:55,89808,89990,89758,89823,32017,80766
2020.03.10 14:00,89828,89940,89576,89667,39616,100915
2020.03.10 14:05,89662,90359,89541,90323,59038,141993
2020.03.10 14:10,90328,90470,90202,90409,43962,105495
2020.03.10 14:15,90409,90621,90162,90525,44048,112238
2020.03.10 14:20,90520,90828,90520,90722,47447,116396
2020.03.10 14:25,90722,90778,90288,90540,53911,127757
2020.03.10 14:30,90545,90934,90455,90909,53358,121574
2020.03.10 14:35,90914,90939,90510,90707,46042,110356
2020.03.10 14:40,90712,90863,90485,90702,43453,110168
2020.03.10 14:45,90702,90707,90217,90248,43651,114533
2020.03.10 14:50,90248,90414,90005,90035,48827,122805
2020.03.10 14:55,90035,90066,89697,89889,55998,150380
